ア,12826
イ,6650
ウ,4421
エ,7243
オ,7561
ヴ,697
カ,9257
キ,6089
ク,4465
ケ,1909
コ,6389
ガ,1978
ギ,1215
グ,1352
ゲ,1635
ゴ,1795
サ,6248
シ,9498
ス,5479
セ,3470
ソ,2210
ザ,991
ジ,5473
ズ,264
ゼ,1070
ゾ,240
タ,4767
チ,3821
ツ,1698
テ,3132
ト,5997
ダ,3964
ヂ,8
ヅ,17
デ,3015
ド,2757
ナ,4658
ニ,5852
ヌ,304
ネ,1423
ノ,1429
ハ,5748
ヒ,3702
フ,5647
ヘ,1073
ホ,2459
バ,2538
ビ,1553
ブ,1996
ベ,764
ボ,1846
パ,1734
ピ,1192
プ,1512
ペ,592
ポ,1263
マ,6685
ミ,4836
ム,1419
メ,2291
モ,2995
ヤ,2713
ユ,3669
ヨ,2065
ラ,2621
リ,3065
ル,933
レ,2061
ロ,1953
ワ,2100
ヲ,44
ン,84
ァ,9
ィ,3
ゥ,7
ェ,10
ォ,2
ッ,27
ヮ,2
ヰ,2
ヱ,14
ャ,3
ュ,4
ョ,1
ー,5
